Date,Host,Service,Content
"2026-06-19T01:06:02.179Z","i-023c16c7968372b38","smps_stats","[Fri Jun 19 2026 10:06:01] Msgs=808775197 Throughput=316.967489 Response_Time=17.660380 Wait_Time_In_Queue=0.006464 Max_HP_Msg=35 Max_NP_Msg=80 Current_Depth=0 Max_Depth=80 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=55 Max_Threads=55 Busy_Threads=21 Current_Connections=2251 Max_Connections=3452 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:05:02.483Z","i-00dd30849ccfba93a","smps_stats","[Fri Jun 19 2026 10:05:02] Msgs=790953398 Throughput=310.054025 Response_Time=17.494357 Wait_Time_In_Queue=0.005967 Max_HP_Msg=34 Max_NP_Msg=55 Current_Depth=0 Max_Depth=55 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=56 Max_Threads=56 Busy_Threads=36 Current_Connections=2330 Max_Connections=2817 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:05:02.143Z","i-023c16c7968372b38","smps_stats","[Fri Jun 19 2026 10:05:01] Msgs=808702091 Throughput=316.946291 Response_Time=17.660252 Wait_Time_In_Queue=0.006463 Max_HP_Msg=35 Max_NP_Msg=80 Current_Depth=0 Max_Depth=80 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=55 Max_Threads=55 Busy_Threads=26 Current_Connections=2169 Max_Connections=3452 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:05:01.903Z","i-06d8bd0429c15d38c","smps_stats","[Fri Jun 19 2026 10:05:01] Msgs=776989677 Throughput=304.618452 Response_Time=17.164177 Wait_Time_In_Queue=0.004781 Max_HP_Msg=30 Max_NP_Msg=51 Current_Depth=0 Max_Depth=51 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=52 Max_Threads=52 Busy_Threads=25 Current_Connections=2183 Max_Connections=2778 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:05:01.676Z","i-0a2328f9d6500e6c4","smps_stats","[Fri Jun 19 2026 10:05:01] Msgs=812119667 Throughput=318.431473 Response_Time=17.587977 Wait_Time_In_Queue=0.005619 Max_HP_Msg=32 Max_NP_Msg=59 Current_Depth=0 Max_Depth=59 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=60 Max_Threads=60 Busy_Threads=29 Current_Connections=2223 Max_Connections=2877 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:04:03.448Z","i-00dd30849ccfba93a","smps_stats","[Fri Jun 19 2026 10:04:02] Msgs=790885386 Throughput=310.034656 Response_Time=17.494235 Wait_Time_In_Queue=0.005966 Max_HP_Msg=34 Max_NP_Msg=55 Current_Depth=0 Max_Depth=55 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=56 Max_Threads=56 Busy_Threads=35 Current_Connections=2250 Max_Connections=2817 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:04:03.104Z","i-023c16c7968372b38","smps_stats","[Fri Jun 19 2026 10:04:01] Msgs=808630906 Throughput=316.925845 Response_Time=17.660144 Wait_Time_In_Queue=0.006463 Max_HP_Msg=35 Max_NP_Msg=80 Current_Depth=0 Max_Depth=80 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=55 Max_Threads=55 Busy_Threads=36 Current_Connections=2421 Max_Connections=3452 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:04:02.866Z","i-06d8bd0429c15d38c","smps_stats","[Fri Jun 19 2026 10:04:02] Msgs=776929521 Throughput=304.601914 Response_Time=17.164143 Wait_Time_In_Queue=0.004781 Max_HP_Msg=30 Max_NP_Msg=51 Current_Depth=1 Max_Depth=51 Current_High_Depth=0 Current_Norm_Depth=1 Current_Threads=52 Max_Threads=52 Busy_Threads=28 Current_Connections=2131 Max_Connections=2778 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:04:02.640Z","i-0a2328f9d6500e6c4","smps_stats","[Fri Jun 19 2026 10:04:01] Msgs=812048716 Throughput=318.411144 Response_Time=17.587932 Wait_Time_In_Queue=0.005619 Max_HP_Msg=32 Max_NP_Msg=59 Current_Depth=0 Max_Depth=59 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=60 Max_Threads=60 Busy_Threads=23 Current_Connections=2143 Max_Connections=2877 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:03:02.828Z","i-06d8bd0429c15d38c","smps_stats","[Fri Jun 19 2026 10:03:02] Msgs=776866479 Throughput=304.584482 Response_Time=17.164109 Wait_Time_In_Queue=0.004781 Max_HP_Msg=30 Max_NP_Msg=51 Current_Depth=0 Max_Depth=51 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=52 Max_Threads=52 Busy_Threads=21 Current_Connections=2286 Max_Connections=2778 Exceeded_Limit=0 Core_Result=N"
